"mkt","measure","name","Value"
"BEARING - APPLICATIONS","LB","AZADIRACHTIN",2800
"BEARING - APPLICATIONS","LB","BEAUVERIA BASSIANA",NA
"BEARING - APPLICATIONS","LB","BIFENAZATE",28700
"BEARING - APPLICATIONS","LB","BIFENTHRIN",4600
"BEARING - APPLICATIONS","LB","BT KURSTAK ABTS-1857",NA
"BEARING - APPLICATIONS","LB","BT KURSTAKI ABTS-351",NA
"BEARING - APPLICATIONS","LB","BT KURSTAKI SA-11",NA
"BEARING - APPLICATIONS","LB","CANOLA OIL",NA
"BEARING - APPLICATIONS","LB","CHLORANTRANILIPROLE",2000
"BEARING - APPLICATIONS","LB","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",NA
"BEARING - APPLICATIONS","LB","CYANTRANILIPROLE",1700
"BEARING - APPLICATIONS","LB","CYFLUMETOFEN",7600
"BEARING - APPLICATIONS","LB","ETOXAZOLE",NA
"BEARING - APPLICATIONS","LB","FENBUTATIN-OXIDE",NA
"BEARING - APPLICATIONS","LB","FENPROPATHRIN",6600
"BEARING - APPLICATIONS","LB","FENPYROXIMATE",NA
"BEARING - APPLICATIONS","LB","FLONICAMID",6200
"BEARING - APPLICATIONS","LB","FLUPYRADIFURONE",5000
"BEARING - APPLICATIONS","LB","HEXYTHIAZOX",5400
"BEARING - APPLICATIONS","LB","IMIDACLOPRID",3100
"BEARING - APPLICATIONS","LB","LAMBDA-CYHALOTHRIN",NA
"BEARING - APPLICATIONS","LB","MALATHION",19400
"BEARING - APPLICATIONS","LB","METHOXYFENOZIDE",7900
"BEARING - APPLICATIONS","LB","NALED",NA
"BEARING - APPLICATIONS","LB","NEEM OIL",NA
"BEARING - APPLICATIONS","LB","NEEM OIL, CLAR. HYD.",NA
"BEARING - APPLICATIONS","LB","NOVALURON",5600
"BEARING - APPLICATIONS","LB","PIPERONYL BUTOXIDE",NA
"BEARING - APPLICATIONS","LB","PYRETHRINS",NA
"BEARING - APPLICATIONS","LB","PYRIDABEN",NA
"BEARING - APPLICATIONS","LB","SPINETORAM",3800
"BEARING - APPLICATIONS","LB","SPINOSAD",2000
"BEARING - APPLICATIONS","LB","THIAMETHOXAM",1300
"BEARING - APPLICATIONS","LB","TOTAL)",231600
"BEARING - APPLICATIONS","LB","ACIBENZOLAR-S-METHYL",NA
"BEARING - APPLICATIONS","LB","CAPSICUM OLEORESIN EXTRACT",NA
"BEARING - APPLICATIONS","LB","CHLOROPICRIN",11299000
"BEARING - APPLICATIONS","LB","DICHLOROPROPENE",1642600
"BEARING - APPLICATIONS","LB","FLUTRIAFOL",3900
"BEARING - APPLICATIONS","LB","GARLIC OIL",NA
"BEARING - APPLICATIONS","LB","HYDROGEN PEROXIDE",NA
"BEARING - APPLICATIONS","LB","IRON PHOSPHATE",NA
"BEARING - APPLICATIONS","LB","METALDEHYDE",NA
"BEARING - APPLICATIONS","LB","METAM-POTASSIUM",NA
"BEARING - APPLICATIONS","LB","METAM-SODIUM",NA
"BEARING - APPLICATIONS","LB","PEROXYACETIC ACID",NA
"BEARING - APPLICATIONS","LB","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",NA
"BEARING - APPLICATIONS","LB","REYNOUTRIA SACHALINE",NA
"BEARING - APPLICATIONS","LB","TOTAL)",15611900
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","AZOXYSTROBIN",0.234
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BACILLUS SUBTILIS",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BLAD",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BORAX DECAHYDRATE",0.042
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BOSCALID",0.354
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BT SUBSP KURSTAKI EVB-113-19",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CAPTAN",1.693
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CYFLUFENAMID",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CYPRODINIL",0.316
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","DIFENOCONAZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FENHEXAMID",0.659
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUDIOXONIL",0.211
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUOPYRAM",0.119
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUXAPYROXAD",0.161
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FOSETYL-AL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ISOFETAMID",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","MEFENOXAM",0.5
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","MONO-POTASSIUM SALT",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","MYCLOBUTANIL",0.105
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PENTHIOPYRAD",0.271
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","POLYOXIN D ZINC SALT",0.061
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PROPICONAZOLE",0.112
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PYDIFLUMETOFEN",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PYRACLOSTROBIN",0.167
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PYRIMETHANIL",0.658
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","QUINOLINE",0.095
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","SULFUR",5.471
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","TETRACONAZOLE",0.036
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","THIOPHANATE-METHYL",0.695
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","THIRAM",2.201
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","TRIFLOXYSTROBIN",0.119
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","TRIFLUMIZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CARFENTRAZONE-ETHYL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUMIOXAZIN",0.078
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","OXYFLUORFEN",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PENDIMETHALIN",0.923
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ABAMECTIN",0.019
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ACEQUINOCYL",0.299
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ACETAMIPRID",0.129
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","AZADIRACHTIN",0.03
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BEAUVERIA BASSIANA",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BIFENAZATE",0.5
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BIFENTHRIN",0.116
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BT KURSTAK ABTS-1857",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BT KURSTAKI ABTS-351",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","BT KURSTAKI SA-11",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CANOLA OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHLORANTRANILIPROLE",0.063
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CYANTRANILIPROLE",0.117
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CYFLUMETOFEN",0.178
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ETOXAZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FENBUTATIN-OXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FENPROPATHRIN",0.26
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FENPYROXIMATE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLONICAMID",0.087
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUPYRADIFURONE",0.182
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","HEXYTHIAZOX",0.186
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","IMIDACLOPRID",0.457
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","LAMBDA-CYHALOTHRIN",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","MALATHION",1.807
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","METHOXYFENOZIDE",0.169
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","NALED",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","NEEM OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","NEEM OIL, CLAR. HYD.",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","NOVALURON",0.077
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PIPERONYL BUTOXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PYRETHRINS",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PYRIDABEN",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","SPINETORAM",0.071
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","SPINOSAD",0.094
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","THIAMETHOXAM",0.062
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","ACIBENZOLAR-S-METHYL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CAPSICUM OLEORESIN EXTRACT",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","CHLOROPICRIN",188.284
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","DICHLOROPROPENE",111.391
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","FLUTRIAFOL",0.114
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","GARLIC OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","HYDROGEN PEROXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","IRON PHOSPHATE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","METALDEHYDE",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","METAM-POTASSIUM",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","METAM-SODIUM",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PEROXYACETIC ACID",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",NA
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION","REYNOUTRIA SACHALINE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","AZOXYSTROBIN",0.326
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BACILLUS SUBTILIS",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BLAD",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BORAX DECAHYDRATE",0.093
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BOSCALID",0.885
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BT SUBSP KURSTAKI EVB-113-19",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CAPTAN",15.932
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CYFLUFENAMID",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CYPRODINIL",0.872
"BEARING - APPLICATIONS","LB / ACRE / YEAR","DIFENOCONAZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FENHEXAMID",0.753
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUDIOXONIL",0.599
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUOPYRAM",0.389
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUXAPYROXAD",0.294
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FOSETYL-AL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ISOFETAMID",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","MEFENOXAM",0.727
"BEARING - APPLICATIONS","LB / ACRE / YEAR","MONO-POTASSIUM SALT",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","MYCLOBUTANIL",0.546
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PENTHIOPYRAD",0.49
"BEARING - APPLICATIONS","LB / ACRE / YEAR","POLYOXIN D ZINC SALT",0.109
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PROPICONAZOLE",0.174
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PYDIFLUMETOFEN",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PYRACLOSTROBIN",0.355
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PYRIMETHANIL",1.036
"BEARING - APPLICATIONS","LB / ACRE / YEAR","QUINOLINE",0.193
"BEARING - APPLICATIONS","LB / ACRE / YEAR","SULFUR",38.761
"BEARING - APPLICATIONS","LB / ACRE / YEAR","TETRACONAZOLE",0.059
"BEARING - APPLICATIONS","LB / ACRE / YEAR","THIOPHANATE-METHYL",1.667
"BEARING - APPLICATIONS","LB / ACRE / YEAR","THIRAM",8.873
"BEARING - APPLICATIONS","LB / ACRE / YEAR","TRIFLOXYSTROBIN",0.39
"BEARING - APPLICATIONS","LB / ACRE / YEAR","TRIFLUMIZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CARFENTRAZONE-ETHYL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUMIOXAZIN",0.315
"BEARING - APPLICATIONS","LB / ACRE / YEAR","OXYFLUORFEN",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PENDIMETHALIN",5.892
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ABAMECTIN",0.025
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ACEQUINOCYL",0.65
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ACETAMIPRID",0.181
"BEARING - APPLICATIONS","LB / ACRE / YEAR","AZADIRACHTIN",0.114
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BEAUVERIA BASSIANA",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BIFENAZATE",1.094
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BIFENTHRIN",0.178
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BT KURSTAK ABTS-1857",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BT KURSTAKI ABTS-351",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","BT KURSTAKI SA-11",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CANOLA OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CHLORANTRANILIPROLE",0.158
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CYANTRANILIPROLE",0.241
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CYFLUMETOFEN",0.397
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ETOXAZOLE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FENBUTATIN-OXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FENPROPATHRIN",0.327
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FENPYROXIMATE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLONICAMID",0.197
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUPYRADIFURONE",0.317
"BEARING - APPLICATIONS","LB / ACRE / YEAR","HEXYTHIAZOX",0.227
"BEARING - APPLICATIONS","LB / ACRE / YEAR","IMIDACLOPRID",0.496
"BEARING - APPLICATIONS","LB / ACRE / YEAR","LAMBDA-CYHALOTHRIN",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","MALATHION",2.398
"BEARING - APPLICATIONS","LB / ACRE / YEAR","METHOXYFENOZIDE",0.276
"BEARING - APPLICATIONS","LB / ACRE / YEAR","NALED",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","NEEM OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","NEEM OIL, CLAR. HYD.",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","NOVALURON",0.232
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PIPERONYL BUTOXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PYRETHRINS",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PYRIDABEN",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","SPINETORAM",0.125
"BEARING - APPLICATIONS","LB / ACRE / YEAR","SPINOSAD",0.173
"BEARING - APPLICATIONS","LB / ACRE / YEAR","THIAMETHOXAM",0.092
"BEARING - APPLICATIONS","LB / ACRE / YEAR","ACIBENZOLAR-S-METHYL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CAPSICUM OLEORESIN EXTRACT",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","CHLOROPICRIN",442.413
"BEARING - APPLICATIONS","LB / ACRE / YEAR","DICHLOROPROPENE",131.091
"BEARING - APPLICATIONS","LB / ACRE / YEAR","FLUTRIAFOL",0.218
"BEARING - APPLICATIONS","LB / ACRE / YEAR","GARLIC OIL",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","HYDROGEN PEROXIDE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","IRON PHOSPHATE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","METALDEHYDE",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","METAM-POTASSIUM",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","METAM-SODIUM",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PEROXYACETIC ACID",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009",NA
"BEARING - APPLICATIONS","LB / ACRE / YEAR","REYNOUTRIA SACHALINE",NA
"BEARING - APPLICATIONS","NUMBER","AZOXYSTROBIN",1.4
"BEARING - APPLICATIONS","NUMBER","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",NA
"BEARING - APPLICATIONS","NUMBER","BACILLUS SUBTILIS",NA
"BEARING - APPLICATIONS","NUMBER","BLAD",NA
"BEARING - APPLICATIONS","NUMBER","BORAX DECAHYDRATE",2.2
"BEARING - APPLICATIONS","NUMBER","BOSCALID",2.5
"BEARING - APPLICATIONS","NUMBER","BT SUBSP KURSTAKI EVB-113-19",NA
"BEARING - APPLICATIONS","NUMBER","CAPTAN",9.4
"BEARING - APPLICATIONS","NUMBER","CYFLUFENAMID",NA
"BEARING - APPLICATIONS","NUMBER","CYPRODINIL",2.8
"BEARING - APPLICATIONS","NUMBER","DIFENOCONAZOLE",NA
"BEARING - APPLICATIONS","NUMBER","FENHEXAMID",1.1
"BEARING - APPLICATIONS","NUMBER","FLUDIOXONIL",2.8
"BEARING - APPLICATIONS","NUMBER","FLUOPYRAM",3.3
"BEARING - APPLICATIONS","NUMBER","FLUXAPYROXAD",1.8
"BEARING - APPLICATIONS","NUMBER","FOSETYL-AL",NA
"BEARING - APPLICATIONS","NUMBER","ISOFETAMID",NA
"BEARING - APPLICATIONS","NUMBER","MEFENOXAM",1.5
"BEARING - APPLICATIONS","NUMBER","MONO-POTASSIUM SALT",NA
"BEARING - APPLICATIONS","NUMBER","MYCLOBUTANIL",5.2
"BEARING - APPLICATIONS","NUMBER","PENTHIOPYRAD",1.8
"BEARING - APPLICATIONS","NUMBER","POLYOXIN D ZINC SALT",1.8
"BEARING - APPLICATIONS","NUMBER","PROPICONAZOLE",1.6
"BEARING - APPLICATIONS","NUMBER","PYDIFLUMETOFEN",NA
"BEARING - APPLICATIONS","NUMBER","PYRACLOSTROBIN",2.1
"BEARING - APPLICATIONS","NUMBER","PYRIMETHANIL",1.6
"BEARING - APPLICATIONS","NUMBER","QUINOLINE",2
"BEARING - APPLICATIONS","NUMBER","SULFUR",7.1
"BEARING - APPLICATIONS","NUMBER","TETRACONAZOLE",1.6
"BEARING - APPLICATIONS","NUMBER","THIOPHANATE-METHYL",2.4
"BEARING - APPLICATIONS","NUMBER","THIRAM",4
"BEARING - APPLICATIONS","NUMBER","TRIFLOXYSTROBIN",3.3
"BEARING - APPLICATIONS","NUMBER","TRIFLUMIZOLE",NA
"BEARING - APPLICATIONS","NUMBER","CARFENTRAZONE-ETHYL",NA
"BEARING - APPLICATIONS","NUMBER","FLUMIOXAZIN",4.1
"BEARING - APPLICATIONS","NUMBER","OXYFLUORFEN",NA
"BEARING - APPLICATIONS","NUMBER","PENDIMETHALIN",6.4
"BEARING - APPLICATIONS","NUMBER","ABAMECTIN",1.3
"BEARING - APPLICATIONS","NUMBER","ACEQUINOCYL",2.2
"BEARING - APPLICATIONS","NUMBER","ACETAMIPRID",1.4
"BEARING - APPLICATIONS","NUMBER","AZADIRACHTIN",3.8
"BEARING - APPLICATIONS","NUMBER","BEAUVERIA BASSIANA",NA
"BEARING - APPLICATIONS","NUMBER","BIFENAZATE",2.2
"BEARING - APPLICATIONS","NUMBER","BIFENTHRIN",1.5
"BEARING - APPLICATIONS","NUMBER","BT KURSTAK ABTS-1857",NA
"BEARING - APPLICATIONS","NUMBER","BT KURSTAKI ABTS-351",1.5
"BEARING - APPLICATIONS","NUMBER","BT KURSTAKI SA-11",3.1
"BEARING - APPLICATIONS","NUMBER","CANOLA OIL",NA
"BEARING - APPLICATIONS","NUMBER","CHLORANTRANILIPROLE",2.5
"BEARING - APPLICATIONS","NUMBER","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA",NA
"BEARING - APPLICATIONS","NUMBER","CYANTRANILIPROLE",2.1
"BEARING - APPLICATIONS","NUMBER","CYFLUMETOFEN",2.2
"BEARING - APPLICATIONS","NUMBER","ETOXAZOLE",NA
"BEARING - APPLICATIONS","NUMBER","FENBUTATIN-OXIDE",NA
"BEARING - APPLICATIONS","NUMBER","FENPROPATHRIN",1.3
"BEARING - APPLICATIONS","NUMBER","FENPYROXIMATE",NA
"BEARING - APPLICATIONS","NUMBER","FLONICAMID",2.3
"BEARING - APPLICATIONS","NUMBER","FLUPYRADIFURONE",1.7
"BEARING - APPLICATIONS","NUMBER","HEXYTHIAZOX",1.2
"BEARING - APPLICATIONS","NUMBER","IMIDACLOPRID",1.1
"BEARING - APPLICATIONS","NUMBER","LAMBDA-CYHALOTHRIN",NA
"BEARING - APPLICATIONS","NUMBER","MALATHION",1.3
"BEARING - APPLICATIONS","NUMBER","METHOXYFENOZIDE",1.6
"BEARING - APPLICATIONS","NUMBER","NALED",NA
"BEARING - APPLICATIONS","NUMBER","NEEM OIL",NA
"BEARING - APPLICATIONS","NUMBER","NEEM OIL, CLAR. HYD.",NA
"BEARING - APPLICATIONS","NUMBER","NOVALURON",3
