"mkt","measure","Value"
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.059
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.667
"BEARING - APPLICATIONS","LB / ACRE / YEAR",8.873
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.39
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.315
"BEARING - APPLICATIONS","LB / ACRE / YEAR",5.892
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.025
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.65
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.181
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.114
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.094
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.178
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.158
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.241
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.397
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.327
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.197
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.317
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.227
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.496
"BEARING - APPLICATIONS","LB / ACRE / YEAR",2.398
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.276
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.232
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.125
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.173
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.092
"BEARING - APPLICATIONS","LB / ACRE / YEAR",442.413
"BEARING - APPLICATIONS","LB / ACRE / YEAR",131.091
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.218
"BEARING - APPLICATIONS","NUMBER",1.4
"BEARING - APPLICATIONS","NUMBER",NA
"BEARING - APPLICATIONS","NUMBER",2.2
"BEARING - APPLICATIONS","NUMBER",2.5
"BEARING - APPLICATIONS","NUMBER",9.4
"BEARING - APPLICATIONS","NUMBER",2.8
"BEARING - APPLICATIONS","NUMBER",1.1
"BEARING - APPLICATIONS","NUMBER",3.3
