"mkt","measure","Value"
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.097
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",3.656
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.039
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.669
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.219
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.23
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.024
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.089
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.313
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.202
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.297
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.126
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.034
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.496
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.067
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.111
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.135
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.286
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.103
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.085
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.158
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.177
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.515
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.991
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.904
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",5.151
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.059
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.478
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.044
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.068
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.093
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.243
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",244.066
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",83.557
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",214.011
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",228.063
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.191
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.447
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.54
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.051
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.508
"BEARING - APPLICATIONS","LB / ACRE / YEAR",10.456
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.034
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.765
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.25
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.163
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.51
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.224
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.361
"BEARING - APPLICATIONS","LB / ACRE / YEAR",18.136
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.215
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.281
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.625
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.149
"BEARING - APPLICATIONS","LB / ACRE / YEAR",2.908
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.883
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.264
"BEARING - APPLICATIONS","LB / ACRE / YEAR",26.646
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.058
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.041
"BEARING - APPLICATIONS","LB / ACRE / YEAR",5.064
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.235
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.55
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.074
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.217
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.428
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.84
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.04
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.182
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.091
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.978
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.346
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.119
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.222
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.299
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.581
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.531
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.128
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.161
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.399
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.269
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.793
"BEARING - APPLICATIONS","LB / ACRE / YEAR",5.571
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.665
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.334
"BEARING - APPLICATIONS","LB / ACRE / YEAR",7.924
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.192
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.884
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.108
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.113
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.307
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.137
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.164
"BEARING - APPLICATIONS","LB / ACRE / YEAR",345.893
"BEARING - APPLICATIONS","LB / ACRE / YEAR",125.71
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.188
"BEARING - APPLICATIONS","LB / ACRE / YEAR",244.72
"BEARING - APPLICATIONS","LB / ACRE / YEAR",303.425
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.231
"BEARING - APPLICATIONS","NUMBER",6
"BEARING - APPLICATIONS","NUMBER",4.5
"BEARING - APPLICATIONS","NUMBER",2.7
"BEARING - APPLICATIONS","NUMBER",7.3
"BEARING - APPLICATIONS","NUMBER",3.2
"BEARING - APPLICATIONS","NUMBER",4.3
"BEARING - APPLICATIONS","NUMBER",3.5
"BEARING - TREATED","PCT OF AREA BEARING",8
"BEARING - TREATED","PCT OF AREA BEARING",76
"BEARING - TREATED","PCT OF AREA BEARING",51
"BEARING - TREATED","PCT OF AREA BEARING",72
"BEARING - TREATED","PCT OF AREA BEARING",2
"BEARING - APPLICATIONS","LB",12000
"BEARING - APPLICATIONS","LB",146100
"BEARING - APPLICATIONS","LB",2700
"BEARING - APPLICATIONS","LB",54800
"BEARING - APPLICATIONS","LB",286900
"BEARING - APPLICATIONS","LB",125900
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.858
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.098
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.206
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.34
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.036
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.045
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.099
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.141
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.05
"BEARING - APPLICATIONS","LB / ACRE / YEAR",4.123
"BEARING - APPLICATIONS","LB / ACRE / YEAR",16.856
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.642
"BEARING - APPLICATIONS","LB / ACRE / YEAR",4.888
"BEARING - APPLICATIONS","LB / ACRE / YEAR",10.166
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.127
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.663
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.077
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.212
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.116
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.095
"BEARING - APPLICATIONS","NUMBER",4.8
"BEARING - APPLICATIONS","NUMBER",8
"BEARING - APPLICATIONS","NUMBER",3.6
"BEARING - APPLICATIONS","NUMBER",4.7
"BEARING - TREATED","PCT OF AREA BEARING",64
"BEARING - TREATED","PCT OF AREA BEARING",54
"BEARING - TREATED","PCT OF AREA BEARING",95
"BEARING - TREATED","PCT OF AREA BEARING",13
"BEARING - TREATED","PCT OF AREA BEARING",97
"BEARING - APPLICATIONS","LB",94800
"BEARING - APPLICATIONS","LB",4900
"BEARING - APPLICATIONS","LB",15200
"BEARING - APPLICATIONS","LB",298200
"BEARING - APPLICATIONS","LB",20100
"BEARING - APPLICATIONS","LB",466900
"BEARING - APPLICATIONS","LB",8000
"BEARING - APPLICATIONS","LB",90500
"BEARING - APPLICATIONS","LB",134400
"BEARING - APPLICATIONS","LB",2749500
"BEARING - APPLICATIONS","LB",668000
"BEARING - APPLICATIONS","LB",3586800
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.358
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.878
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.022
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.59
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.214
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.17
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.488
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.104
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.425
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.171
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.628
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.096
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",4.865
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.636
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.078
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.241
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.353
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.364
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.118
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.032
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.49
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.082
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.172
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.181
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.799
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.176
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.891
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",6.34
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.091
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.25
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.06
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",236.901
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",83.195
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.226
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.298
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.565
"BEARING - APPLICATIONS","LB / ACRE / YEAR",6.452
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.026
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.005
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.143
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.711
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.167
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.402
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.05
"BEARING - APPLICATIONS","LB / ACRE / YEAR",3.52
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.221
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.305
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.762
"BEARING - APPLICATIONS","LB / ACRE / YEAR",12.88
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.055
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.827
"BEARING - APPLICATIONS","LB / ACRE / YEAR",4.285
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.148
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.396
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.105
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.944
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.027
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.364
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.165
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.645
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.163
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.084
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.24
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.234
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.63
"BEARING - APPLICATIONS","LB / ACRE / YEAR",3.062
"BEARING - APPLICATIONS","LB / ACRE / YEAR",1.091
"BEARING - APPLICATIONS","LB / ACRE / YEAR",10.762
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.083
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.104
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.319
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.086
"BEARING - APPLICATIONS","LB / ACRE / YEAR",256.687
"BEARING - APPLICATIONS","LB / ACRE / YEAR",85.17
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.129
"BEARING - TREATED","PCT OF AREA BEARING",1
"BEARING - APPLICATIONS","LB",87400
"BEARING - APPLICATIONS","LB",22500
"BEARING - APPLICATIONS","LB",128400
"BEARING - APPLICATIONS","LB",102700
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.858
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.33
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.221
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.632
"BEARING - APPLICATIONS","LB / ACRE / YEAR",9.193
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.997
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.501
"BEARING - APPLICATIONS","LB / ACRE / YEAR",6.049
"BEARING - APPLICATIONS","NUMBER",4.9
"BEARING - APPLICATIONS","NUMBER",3.7
